"Barcode","Wine","Label"
"90609886","NV La Rochelle Pinot Noir Santa Lucia
Highlands","Drink 2016-2018 (CT) 
8/2/2017 
Value: $37.33 "
"90609958","NV The Austin Winery Euphoria","8/2/2017 "
"90609862","2015 The Austin Winery Old Vine Zin","MY 93 
8/2/2017 "
"87711117","NV Barcino Cava Brut","CT 87.7 
Spec's, 5/8/2017 
Value: $13.11 "
"87711103","2000 Gundlach Bundschu Gewürztraminer
Rhinefarm Vineyard","Sonoma, 5/8/2017 
Value: $18.67 "
"88553528","2015 Gundlach Bundschu Pinot Noir","CT 86 
6/1/2017 
Value: $34.76 "
"88553529","2015 Gundlach Bundschu Pinot Noir","CT 86 
6/1/2017 
Value: $34.76 "
"90196766","2015 Gundlach Bundschu Pinot Noir","CT 86 
7/19/2017 
Value: $34.76 "
"90196767","2015 Gundlach Bundschu Pinot Noir","CT 86 
7/19/2017 
Value: $34.76 "
"88553508","2014 Gundlach Bundschu Pinot Noir","Drink 2017-2020 (CT) 
CT 89.8 
6/1/2017 
Value: $35.32 "
"88553509","2014 Gundlach Bundschu Pinot Noir","Drink 2017-2020 (CT) 
CT 89.8 
6/1/2017 
Value: $35.32 "
"87674474","2014 Locus Wines","Seattle, 5/7/2017 "
"90609639","2015 La Rochelle Pinot Meunier Parliament
Hill","8/2/2017 
Value: $48.00 "
"90609675","2015 La Rochelle Pinot Meunier Parliament
Hill","8/2/2017 
Value: $48.00 "
"90609747","2015 La Rochelle Pinot Meunier Parliament
Hill","8/2/2017 
Value: $48.00 "
"90609748","2015 La Rochelle Pinot Meunier Parliament
Hill","8/2/2017 
Value: $48.00 "
"87674194","2014 La Rochelle Pinot Meunier Parliament
Hill","Drink 2016-2019 (CT) 
CT 87.4 
5/7/2015 
Value: $39.28 "
"90609608","NV La Rochelle Pinot Noir Applellation
Series Clone 667-115-wente- Non Vintage Russian River Valley","Drink by 2017 (CT) 
8/2/2017 
Value: $41.00 "
"90609609","NV La Rochelle Pinot Noir Applellation
Series Clone 667-115-wente- Non Vintage Russian River Valley","Drink by 2017 (CT) 
8/2/2017 
Value: $41.00 "
"90609610","NV La Rochelle Pinot Noir Applellation
Series Clone 667-115-wente- Non Vintage Russian River Valley","Drink by 2017 (CT) 
8/2/2017 
Value: $41.00 "
"90609977","NV La Rochelle Pinot Noir Applellation
Series Russian River Valley","8/2/2017 "
"87674596","2011 La Rochelle Pinot Noir Donum Estate
Vineyard","CT 92 
Sonoma, 5/7/2017 
Value: $72.30 "
"87711137","2012 La Rochelle Pinot Noir Recherché
Reserve Ferrington Vineyard Pommard 4 clone","Sonoma, 5/8/2017 
Value: $71.61 "
"87674385","2011 La Rochelle Pinot Noir Tondré Grapefield","CT 90 
5/7/2017 
Value: $48.40 "
"90609962","NV The Austin Winery Euphoria","8/2/2017 "
"87674581","2012 The Austin Winery Pinot Noir","Austin, 5/7/2017 "
"87710553","2015 Balletto Vineyards Pinot Noir","Santa Rosa, 5/8/2017 "
"87710554","2015 Balletto Vineyards Pinot Noir","Santa Rosa, 5/8/2017 "
"87710555","2015 Balletto Vineyards Pinot Noir","Santa Rosa, 5/8/2017 "
"87710556","2015 Balletto Vineyards Pinot Noir","Santa Rosa, 5/8/2017 "
"87710557","2015 Balletto Vineyards Pinot Noir","Santa Rosa, 5/8/2017 "
"87710558","2015 Balletto Vineyards Pinot Noir","Santa Rosa, 5/8/2017 "
"87710559","2015 Balletto Vineyards Pinot Noir","Santa Rosa, 5/8/2017 "
"87712168","2014 Gundlach Bundschu Cabernet Franc Estate
Vineyard","Drink 2016-2019 (CT) 
CT 90 
Sonoma, 5/8/2017 
Value: $39.03 "
"87712402","2013 Gundlach Bundschu Merlot","Drink 2018-2026 (CT) 
CT 89 
Sonoma, 5/8/2016 
Value: $29.38 "
"87712403","2013 Gundlach Bundschu Merlot","Drink 2018-2026 (CT) 
CT 89 
Sonoma, 5/8/2016 
Value: $29.38 "
"87710504","2014 Gundlach Bundschu Pinot Noir","Drink 2017-2020 (CT) 
CT 89.8 
Sonoma, 5/8/2017 
Value: $35.32 "
"87710505","2014 Gundlach Bundschu Pinot Noir","Drink 2017-2020 (CT) 
CT 89.8 
Sonoma, 5/8/2017 
Value: $35.32 "
"87712289","2014 Gundlach Bundschu Zinfandel Estate
Vineyard Sonoma Valley","Drink 2019-2021 (CT) 
CT 88.3 
Sonoma, 5/8/2017 
Value: $39.63 "
"87712369","2013 Homewood Flying Wizzbanger","Sonoma, 5/8/2017 
Value: $20.75 "
"87712370","2013 Homewood Flying Wizzbanger","Sonoma, 5/8/2017 
Value: $20.75 "
"87712329","2012 Homewood Sangiovese Megliorata","CT 87 
Sonoma, 5/8/2017 
Value: $26.13 "
"87712330","2012 Homewood Sangiovese Megliorata","CT 87 
Sonoma, 5/8/2017 
Value: $26.13 "
"87712196","2012 Homewood Zinfandel Hoskins","Drink 2016-2019 (CT) 
Sonoma, 5/8/2017 
Value: $23.00 "
"87710593","2015 Balletto Vineyards Pinot Noir Emerson
Block Burnside Vineyard","Santa Rosa, 5/8/2017 
Value: $36.80 "
"87710594","2015 Balletto Vineyards Pinot Noir Emerson
Block Burnside Vineyard","Santa Rosa, 5/8/2017 
Value: $36.80 "
"87710595","2015 Balletto Vineyards Pinot Noir Emerson
Block Burnside Vineyard","Santa Rosa, 5/8/2017 
Value: $36.80 "
